pair_id,scenario_id,seed,arm,control_state,arm_state,control_task_correct,arm_task_correct,intervention_outcome,attribution_note,control_latency_ms,arm_latency_ms,latency_delta_ms,control_cost_usd,arm_cost_usd,cost_delta_usd,control_credit_entries,arm_credit_entries,arm_route_path,arm_interventions
pair_8289538d1d2b,shared_dependency_outage,0,AERIS_NO_DIVERSITY,FAILED,ABORTED,False,False,NEUTRAL,same outcome and safety record,6338.5,12741.4,6402.9,0.005861,0.013004,0.007143,0,0,alpha > bravo-shared,RETRY RETRY REROUTE RETRY RETRY ABORT
pair_8289538d1d2b,shared_dependency_outage,0,AERIS_NO_SIDE_EFFECT_GATE,FAILED,ABORTED,False,False,NEUTRAL,same outcome and safety record,6338.5,6338.5,0.0,0.005861,0.005877,1.6e-05,0,0,alpha,RETRY RETRY ABORT
pair_dae077245af6,independent_fallback_outage,0,AERIS_FULL,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",6338.5,11791.4,5452.9,0.005861,0.010554,0.004693,0,1,alpha > bravo,RETRY RETRY REROUTE
pair_dae077245af6,independent_fallback_outage,0,AERIS_NO_CONTEXT,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",6338.5,14211.6,7873.1,0.005861,0.01339,0.00753,0,1,alpha > bravo,RETRY RETRY REROUTE HOLD
pair_dae077245af6,independent_fallback_outage,0,AERIS_NO_DIVERSITY,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",6338.5,11791.4,5452.9,0.005861,0.010554,0.004693,0,1,alpha > bravo,RETRY RETRY REROUTE
pair_dae077245af6,independent_fallback_outage,0,AERIS_NO_SIDE_EFFECT_GATE,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",6338.5,11791.4,5452.9,0.005861,0.010554,0.004693,0,1,alpha > bravo,RETRY RETRY REROUTE
pair_ec9e99bc9add,mixed_fallbacks_outage,0,AERIS_FULL,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",6338.5,11791.4,5452.9,0.005861,0.010554,0.004693,0,1,alpha > bravo,RETRY RETRY REROUTE
pair_ec9e99bc9add,mixed_fallbacks_outage,0,AERIS_NO_CONTEXT,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",6338.5,14211.6,7873.1,0.005861,0.01339,0.00753,0,1,alpha > bravo,RETRY RETRY REROUTE HOLD
pair_ec9e99bc9add,mixed_fallbacks_outage,0,AERIS_NO_DIVERSITY,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",6338.5,19994.3,13655.8,0.005861,0.018907,0.013046,0,1,alpha > bravo-shared > bravo,RETRY RETRY REROUTE RETRY RETRY REROUTE HOLD
pair_ec9e99bc9add,mixed_fallbacks_outage,0,AERIS_NO_SIDE_EFFECT_GATE,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",6338.5,11791.4,5452.9,0.005861,0.010554,0.004693,0,1,alpha > bravo,RETRY RETRY REROUTE
pair_ec45ac54bb22,all_routes_fail,0,AERIS_FULL,FAILED,ABORTED,False,False,NEUTRAL,same outcome and safety record,2330.1,2330.1,0.0,0.000809,0.00083,2.1e-05,0,0,alpha,RETRY RETRY ABORT
pair_ec45ac54bb22,all_routes_fail,0,AERIS_NO_CONTEXT,FAILED,ABORTED,False,False,NEUTRAL,same outcome and safety record,2330.1,2330.1,0.0,0.000809,0.00083,2.1e-05,0,0,alpha,RETRY RETRY ABORT
